Accession	Name	Description	source	Filtered Spectra	Distinct Peptides	Coverage
P21399	ACO1	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	clasp_plus_rep2	37	25	48.0314960629921
Q99798	ACO2	Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2	clasp_minus_rep1	7	6	24.8717948717949
Q99798	ACO2	Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2	clasp_minus_rep2	6	6	24.8717948717949
Q99798	ACO2	Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2	clasp_plus_rep1	6	6	24.8717948717949
Q99798	ACO2	Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2	clasp_plus_rep2	10	10	24.8717948717949
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	clasp_minus_rep1	20	14	61.8421052631579
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	clasp_minus_rep2	20	11	61.8421052631579
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	clasp_plus_rep1	31	19	61.8421052631579
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	clasp_plus_rep2	31	19	61.8421052631579
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	no4SU_minus_rep2	8	7	49.2105263157895
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	no4SU_plus_rep2	4	3	49.2105263157895
Q9Y305	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2	clasp_minus_rep1	7	7	32.1184510250569
Q9Y305	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2	clasp_minus_rep2	5	5	32.1184510250569
Q9Y305	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2	clasp_plus_rep1	9	9	32.1184510250569
Q9Y305	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2	clasp_plus_rep2	9	8	32.1184510250569
O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	clasp_minus_rep1	2	2	24.5833333333333
O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	clasp_minus_rep2	3	3	24.5833333333333
O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	clasp_plus_rep1	3	3	24.5833333333333
O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	clasp_plus_rep2	8	8	24.5833333333333
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	clasp_minus_rep1	12	9	42.7055702917772
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	clasp_minus_rep2	10	7	42.7055702917772
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	clasp_plus_rep1	14	8	42.7055702917772
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	clasp_plus_rep2	11	7	42.7055702917772
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	no4SU_minus_rep2	9	6	29.7082228116711
P62736	ACTA2	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	no4SU_plus_rep2	8	6	29.7082228116711
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	clasp_minus_rep1	23	14	61.3333333333334
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	clasp_minus_rep2	23	12	61.3333333333334
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	clasp_plus_rep1	23	13	61.3333333333334
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	clasp_plus_rep2	21	12	61.3333333333333
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	no4SU_minus_rep1	2	2	49.3333333333333
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	no4SU_minus_rep2	12	7	50.4
P60709	ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	no4SU_plus_rep2	13	8	50.4
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	clasp_minus_rep1	19	16	55.0570962479609
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	clasp_minus_rep2	23	21	55.0570962479608
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	clasp_plus_rep1	24	22	55.0570962479608
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	clasp_plus_rep2	24	20	55.0570962479608
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	no4SU_minus_rep2	3	3	42.4959216965742
P55265	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	no4SU_plus_rep2	6	6	42.4959216965742
Q9UEY8	ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	clasp_minus_rep1	9	8	30.4532577903683
Q9UEY8	ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	clasp_minus_rep2	13	11	30.4532577903683
Q9UEY8	ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	clasp_plus_rep1	12	10	30.4532577903683
Q9UEY8	ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	clasp_plus_rep2	17	14	30.4532577903683
Q9UEY8	ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	no4SU_minus_rep2	4	4	21.529745042492902
Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	clasp_minus_rep1	2	2	23.7749546279492
Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	clasp_minus_rep2	3	3	23.7749546279492
Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	clasp_plus_rep1	4	4	23.7749546279492
Q9H2P0	ADNP	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	clasp_plus_rep2	4	4	23.7749546279492
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	clasp_minus_rep1	20	18	47.2587719298246
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	clasp_minus_rep2	29	23	47.2587719298246
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	clasp_plus_rep1	21	18	47.2587719298246
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	clasp_plus_rep2	29	28	47.2587719298246
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	no4SU_minus_rep2	12	12	38.8157894736842
P55196	AFDN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	no4SU_plus_rep2	11	11	38.8157894736842
P52594	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2	clasp_minus_rep1	5	5	29.7153024911032
P52594	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2	clasp_minus_rep2	5	4	29.7153024911032
P52594	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2	clasp_plus_rep1	4	4	29.7153024911032
P52594	AGFG1	Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2	clasp_plus_rep2	6	6	29.7153024911032
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	clasp_minus_rep1	572	328	89.898132427843
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	clasp_minus_rep2	648	343	89.8981324278436
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	clasp_plus_rep1	685	368	89.8981324278447
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	clasp_plus_rep2	819	391	89.8981324278462
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	no4SU_minus_rep1	60	60	87.4023769100168
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	no4SU_minus_rep2	909	355	89.5755517826787
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	no4SU_plus_rep1	57	56	87.4023769100168
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	no4SU_plus_rep2	1105	334	89.575551782678
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	clasp_minus_rep1	42	41	60.9318377911994
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	clasp_minus_rep2	58	51	60.9318377911992
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	clasp_plus_rep1	51	45	60.9318377911991
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	clasp_plus_rep2	71	63	60.931837791199
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	no4SU_minus_rep2	24	18	47.0232959447801
Q8IVF2	AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	no4SU_plus_rep2	20	15	47.02329594478
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	clasp_minus_rep1	6	6	59.7633136094675
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	clasp_minus_rep2	6	6	59.7633136094675
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	clasp_plus_rep1	7	7	59.7633136094675
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	clasp_plus_rep2	7	6	59.7633136094675
Q9Y2D5	AKAP2	A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3	clasp_minus_rep1	8	7	28.7543655413271
Q9Y2D5	AKAP2	A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3	clasp_minus_rep2	12	9	28.7543655413271
Q9Y2D5	AKAP2	A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3	clasp_plus_rep1	9	6	28.7543655413271
Q9Y2D5	AKAP2	A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3	clasp_plus_rep2	16	12	28.7543655413271
P54886	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	clasp_minus_rep1	10	10	47.4213836477987
P54886	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	clasp_minus_rep2	13	12	47.4213836477987
P54886	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	clasp_plus_rep1	22	16	47.4213836477987
P54886	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	clasp_plus_rep2	16	14	47.4213836477987
P04075	ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	clasp_minus_rep2	5	4	35.4395604395604
P04075	ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	clasp_plus_rep1	2	2	35.4395604395604
P04075	ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	clasp_plus_rep2	2	2	35.4395604395604
Q9NQW6	ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	clasp_minus_rep1	13	12	43.3274021352313
Q9NQW6	ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	clasp_minus_rep2	16	16	43.3274021352313
Q9NQW6	ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	clasp_plus_rep1	11	11	43.3274021352313
Q9NQW6	ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	clasp_plus_rep2	15	15	43.3274021352313
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	clasp_minus_rep1	4	4	40.4129793510324
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	clasp_minus_rep2	3	3	40.4129793510324
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	clasp_plus_rep1	4	4	40.4129793510324
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	clasp_plus_rep2	3	3	40.4129793510324
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	no4SU_minus_rep1	4	4	31.858407079646
P07355	ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	no4SU_minus_rep2	11	9	31.5634218289086
Q10567	AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	clasp_minus_rep1	3	3	20.5479452054795
Q10567	AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	clasp_minus_rep2	4	4	20.5479452054795
Q10567	AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	clasp_plus_rep1	4	4	20.5479452054795
Q10567	AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	clasp_plus_rep2	4	4	20.5479452054795
O43747	AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	clasp_minus_rep1	16	15	38.4428223844282
O43747	AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	clasp_minus_rep2	16	14	38.4428223844282
O43747	AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	clasp_plus_rep1	17	17	38.4428223844282
O43747	AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	clasp_plus_rep2	20	17	38.4428223844282
O95782	AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	clasp_minus_rep1	10	10	41.0440122824974
O95782	AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	clasp_minus_rep2	7	7	41.0440122824974
O95782	AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	clasp_plus_rep1	16	15	41.0440122824974
O95782	AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	clasp_plus_rep2	17	15	41.0440122824974
P63010	AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	clasp_minus_rep1	9	8	35.4322305229456
P63010	AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	clasp_minus_rep2	11	10	35.4322305229456
P63010	AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	clasp_plus_rep1	14	11	35.4322305229456
P63010	AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	clasp_plus_rep2	15	13	35.4322305229456
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	clasp_minus_rep1	24	20	73.1034482758621
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	clasp_minus_rep2	30	24	73.1034482758621
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	clasp_plus_rep1	34	23	73.103448275862
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	clasp_plus_rep2	37	25	73.103448275862
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	no4SU_minus_rep2	6	5	60.6896551724138
Q96CW1	AP2M1	AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2	no4SU_plus_rep2	2	2	60.6896551724138
O00203	AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	clasp_minus_rep1	19	18	32.6325411334552
O00203	AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	clasp_minus_rep2	17	16	32.6325411334552
O00203	AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	clasp_plus_rep1	23	21	32.6325411334552
O00203	AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	clasp_plus_rep2	21	20	32.6325411334552
O14617	AP3D1	AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1	clasp_minus_rep1	5	5	27.059843885516
O14617	AP3D1	AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1	clasp_plus_rep1	8	8	27.059843885516
O14617	AP3D1	AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1	clasp_plus_rep2	10	9	27.059843885516
Q9Y2T2	AP3M1	AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1	clasp_minus_rep1	4	4	45.2153110047847
Q9Y2T2	AP3M1	AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1	clasp_minus_rep2	3	3	45.2153110047847
Q9Y2T2	AP3M1	AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1	clasp_plus_rep1	4	4	45.2153110047847
Q9Y2T2	AP3M1	AP-3 complex subunit mu-1 OS=Homo sapiens GN=AP3M1 PE=1 SV=1	clasp_plus_rep2	5	5	45.2153110047847
P13798	APEH	Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4	clasp_minus_rep1	9	8	31.5573770491803
